-10 42
-10.2 42
-10.4 42
-10.6 42
-10.8	42
-11	42
-11.2	42
-11.4	42
-11.6	42
-11.8	42
-12	42
-12.2	42
-12.4	42
-12.6	42
-12.8	42
-13	42
-13.2	42
-13.4	42
-13.6	42
-13.8	42
-14	42
-14.2	42
-14.4	42
-14.6	42
-14.8	42
-15	47
-15.2	47
-15.4	47
-15.6	47
-15.8	47
-16	47
-16.2	47
-16.4	47
-16.6	47
-16.8	47
-17	47
-17.2	47
-17.4	47
-17.6	53
-17.8	53
-18	53
-18.2	53
-18.4	53
-18.6	53
-18.8	53
-19	53
-19.2	53
-19.4	53
-19.6	53
-19.8	53
-20	53
-20.2	53
-20.4	53
-20.6	53
-20.8	53
-21	53
-21.2	53
-21.4	53
-21.6	53
-21.8	53
-22	53
-22.2	53
-22.4	53
-22.6	53
-22.8	53
-23	53
-23.2	53
-23.4	53
-23.6	47
-23.8	47
-24	47
-24.2	47
-24.4	47
-24.6	47
-24.8	47
-25	47
-25.2	47
-25.4	47
-25.6	47
-25.8	47
-26	47
-26.2	47
-26.4	47
-26.6	47
-26.8	47
-27	47
-27.2	47
-27.4	47
-27.6	47
-27.8	47
-28	47
-28.2	43
-28.4	43
-28.6	43
-28.8	43
-29	43
-29.2	43
-29.4	43
-29.6	43
-29.8	43
-30	43
-30.2	43
-30.4	43
-30.6	43
-30.8	43
-31	43
-31.2	37
-31.4	37
-31.6	37
-31.8	37
-32	37
-32.2	37
-32.4	37
-32.6	37
-32.8	37
-33	37
-33.2	37
-33.4	37
-33.6	37
-33.8	37
-34	37
-34.2	37
-34.4	37
-34.6	37
-34.8	37
-35	37
-35.2	33
-35.4	33
-35.6	33
-35.8	33
-36	33
-36.2	33
-36.4	33
-36.6	33
-36.8	33
-37	33
-37.2	33
-37.4	33
-37.6	33
-37.8	33
-38	33
-38.2	25
-38.4	25
-38.6	25
-38.8	25
-39	25
-39.2	25
-39.4	25
-39.6	25
-39.8	25
-40	25
-40.2	25
-40.4	25
-40.6	25
-40.8	25
-41	25
-41.2	25
-41.4	25
-41.6	25
-41.8	25
-42	25
-42.2	20
-42.4	20
-42.6	20
-42.8	20
-43	20
-43.2	10
-43.4	10
-43.6	10
-43.8	10
-44	10
-44.2	5
-44.4	5
-44.6	5
-44.8	5
-45	5
