-80 -10 NaN NaN NaN -4.39933 0
-79.8 -10 -12.1401481628 -12.1398 -10.0468 -3.25029 1
-79.6 -10 -14.8115720749 -14.8103 -10.8097 -2.12065 1
-79.4 -10 -19.7219543457 -19.7206 -11.1353 -1.2428 1
-79.2 -10 -25.9183006287 -25.9176 -7.39389 -0.65951 1
-79 -10 -32.0801353455 -31.8993 -4.98643 -0.316279 1
-78.8 -10 -39.6578941345 -22.6916 -4.73402 -0.167732 1
-78.6 -10 -47.4995040894 -19.2189 -4.72332 -0.157305 1
-78.4 -10 -55.3411140442 -16.1524 -2.89049 -0.130655 1
-78.2 -10 -63.182723999 -15.8299 -1.27769 0.150313 1
-78 -10 -71.0243377686 -16.6525 -2.63181 0.847497 1
-77.8 -10 -78.8659439087 -21.6181 -4.35048 1.88976 1
-77.6 -10 -87.5616455078 -26.8796 -5.56162 2.99269 1
-77.4 -10 -96.9690475464 -40.3814 -13.7735 3.84824 1
-77.2 -10 -101.690254211 -56.5059 -20.4385 4.30483 2
-77 -10 -108.041473389 -64.7575 -21.5744 4.39436 2
-76.8 -10 -104.903900146 -64.7264 -16.6119 4.24103 2
-76.6 -10 -105.648406982 -61.4356 -11.5803 3.97502 2
-76.4 -10 -106.217590332 -56.5904 -8.36054 3.69116 2
-76.2 -10 -106.788642883 -51.7658 -10.9457 3.41067 2
-76 -10 -107.708724976 -48.5868 -9.03024 3.05481 2
-75.8 -10 -108.671401978 -43.5583 -21.1749 2.50509 2
-75.6 -10 -109.634086609 -40.8818 -10.2303 1.74707 2
-75.4 -10 -110.596763611 -39.4243 -1.34164 0.956723 2
-75.2 -10 -111.559440613 -38.1697 -3.38102 0.406283 2
-75 -10 -113.235534668 -37.2993 -6.11398 0.25378 2
-74.8 -10 -115.706588745 -36.4276 -5.3032 0.414429 2
-74.6 -10 -118.177642822 -35.5559 -6.80708 0.634984 2
-74.4 -10 -120.648704529 -34.6797 -8.28503 0.697472 2
-74.2 -10 -123.184135437 -34.4014 -8.93128 0.568443 2
-74 -10 -125.732048035 -34.49 -9.51264 0.376241 2
-73.8 -10 -128.279968262 -34.5826 -8.50644 0.263286 2
-73.6 -10 -132.165527344 -34.675 -7.0214 0.265069 2
-73.4 -10 -134.266555786 -34.7674 -5.71543 0.316929 2
-73.2 -10 -135.140945435 -34.8598 -5.1096 0.347434 2
-73 -10 -136.015350342 -34.9523 -6.43138 0.3431 2
-72.8 -10 -136.88973999 -34.9656 -5.34432 0.332394 2
