-80 -10 NaN NaN NaN -4.39933
-79.8 -10 -12.1398 -12.1398 -10.0468 -3.25029
-79.6 -10 -14.8103 -14.8103 -10.8097 -2.12065
-79.4 -10 -19.7206 -19.7206 -11.1353 -1.2428
-79.2 -10 -25.9176 -25.9176 -7.39389 -0.65951
-79 -10 -32.0918 -31.8993 -4.98643 -0.316279
-78.8 -10 -39.6552 -22.6916 -4.73402 -0.167732
-78.6 -10 -47.4966 -19.2189 -4.72332 -0.157305
-78.4 -10 -55.3378 -16.1524 -2.89049 -0.130655
-78.2 -10 -63.1789 -15.8299 -1.27769 0.150313
-78 -10 -71.0201 -16.6525 -2.63181 0.847497
-77.8 -10 -78.861 -21.6181 -4.35048 1.88976
-77.6 -10 -87.5578 -26.8796 -5.56162 2.99269
-77.4 -10 -96.9666 -40.3814 -13.7735 3.84824
-77.2 -10 -106.375 -56.5059 -20.4385 4.30483
-77 -10 -108.043 -64.7575 -21.5744 4.39436
-76.8 -10 -104.908 -64.7264 -16.6119 4.24103
-76.6 -10 -105.652 -61.4356 -11.5803 3.97502
-76.4 -10 -106.222 -56.5904 -8.36054 3.69116
-76.2 -10 -106.787 -51.7658 -10.9457 3.41067
-76 -10 -107.71 -48.5868 -9.03024 3.05481
-75.8 -10 -108.671 -43.5583 -21.1749 2.50509
-75.6 -10 -109.634 -40.8818 -10.2303 1.74707
-75.4 -10 -110.597 -39.4243 -1.34164 0.956723
-75.2 -10 -111.56 -38.1697 -3.38102 0.406283
-75 -10 -113.236 -37.2993 -6.11398 0.25378
-74.8 -10 -115.707 -36.4276 -5.3032 0.414429
-74.6 -10 -118.178 -35.5559 -6.80708 0.634984
-74.4 -10 -120.652 -34.6797 -8.28503 0.697472
-74.2 -10 -123.185 -34.4014 -8.93128 0.568443
-74 -10 -125.732 -34.49 -9.51264 0.376241
-73.8 -10 -128.276 -34.5826 -8.50644 0.263286
-73.6 -10 -132.165 -34.675 -7.0214 0.265069
-73.4 -10 -134.267 -34.7674 -5.71543 0.316929
-73.2 -10 -135.141 -34.8598 -5.1096 0.347434
-73 -10 -136.015 -34.9523 -6.43138 0.3431
-72.8 -10 -136.89 -34.9656 -5.34432 0.332394
-72.6 -10 -137.764 -34.8831 -8.14563 0.337008
-72.4 -10 -138.638 -34.8283 -7.36663 0.352929
-72.2 -10 -139.516 -34.7844 -6.34556 0.365405
-72 -10 -140.202 -34.7405 -5.05871 0.365664
-71.8 -10 -140.412 -34.6966 -5.08543 0.353942
-71.6 -10 -141.799 -34.6533 -5.76344 0.33581
-71.4 -10 -142.196 -34.4894 -5.88925 0.318044
-71.2 -10 -142.57 -34.3008 -5.21926 0.304495
-71 -10 -142.944 -34.1807 -5.73199 0.294469
-70.8 -10 -143.317 -34.1757 -6.27751 0.285555
-70.6 -10 -143.694 -34.1707 -5.59752 0.276925
-70.4 -10 -144.072 -34.1657 -4.62648 0.269022
-70.2 -10 -144.449 -34.1822 -4.17953 0.261661
-70 -10 -144.362 -34.4139 -4.18808 0.25405
-69.8 -10 -143.511 -34.6437 -10.7282 0.246097
-69.6 -10 -142.66 -34.8288 -15.8773 0.238709
-69.4 -10 -141.81 -34.9275 -13.6138 0.233014
-69.2 -10 -140.959 -35.0648 -11.7791 0.229526
-69 -10 -140.108 -35.1724 -10.6383 0.22741
-68.8 -10 -139.256 -35.2754 -9.87999 0.224281
-68.6 -10 -138.404 -35.3739 -7.84574 0.217515
-68.4 -10 -137.551 -35.4733 -5.77214 0.206556
-68.2 -10 -136.698 -35.5728 -5.05337 0.193898
-68 -10 -135.854 -35.6722 -5.64857 0.183337
-67.8 -10 -135.021 -35.7717 -6.24377 0.177013
-67.6 -10 -134.161 -35.8711 -6.82702 0.174113
-67.4 -10 -133.874 -35.9706 -5.23358 0.172223
-67.2 -10 -133.71 -36.07 -3.44139 0.16955
-67 -10 -133.546 -36.1695 -2.74837 0.165827
-66.8 -10 -133.382 -36.2594 -3.3719 0.161689
-66.6 -10 -133.219 -36.3417 -4.67138 0.15781
-66.4 -10 -133.001 -36.4241 -3.2581 0.154453
-66.2 -10 -132.51 -36.5065 -2.68652 0.1512
-66 -10 -132.021 -36.5313 -2.11495 0.147074
-65.8 -10 -131.531 -36.3298 -1.54342 0.141643
-65.6 -10 -131.042 -36.1291 -1.10319 0.136408
-65.4 -10 -130.549 -35.9284 -1.33281 0.134541
-65.2 -10 -131.024 -35.7276 -2.35809 0.138353
-65 -10 -132.507 -35.5269 -3.63874 0.146648
-64.8 -10 -133.906 -35.3261 -2.87121 0.154989
-64.6 -10 -135.317 -35.1254 -5.19119 0.159296
-64.4 -10 -136.727 -34.9247 -4.5266 0.159483
-64.2 -10 -138.137 -34.7239 -3.82882 0.159211
-64 -10 -139.548 -34.5995 -3.12679 0.161579
-63.8 -10 -140.958 -34.6007 -2.28441 0.165384
-63.6 -10 -142.714 -34.6114 -3.02551 0.166494
-63.4 -10 -144.673 -34.9333 -7.37707 0.163223
-63.2 -10 -146.62 -35.2763 -7.85904 0.15934
-63 -10 -148.253 -35.6193 -2.39777 0.160429
-62.8 -10 -150.268 -35.9174 -7.7616 0.167214
-62.6 -10 -153.145 -35.9187 -7.37909 0.173998
-62.4 -10 -156.115 -35.9222 -4.67415 0.174984
-62.2 -10 -159.118 -35.9257 -3.89853 0.171422
-62 -10 -162.165 -35.9292 -5.16693 0.170615
-61.8 -10 -163.058 -35.9326 -5.23329 0.177327
