index lon lat shf error
159 -74.131 -36.156 21.80 16.8
160 -74.111 -36.161 20.80 16.8
161 -74.071 -36.165 33.20 16.8
162 -74.057 -36.167 41.30 16.8
163 -74.037 -36.169 59.40 16.8
164 -74.017 -36.172 45.30 16.8
165 -74.005 -36.175 55.00 16.8
166 -73.994 -36.176 48.80 16.8
167 -73.985 -36.178 58.30 16.8
168 -73.972 -36.180 49.20 16.8
169 -72.356 -33.472 34.00 16.8
170 -72.337 -33.478 38.00 16.8
171 -72.318 -33.481 46.00 16.8
172 -72.301 -33.484 50.00 16.8
173 -72.281 -33.489 57.00 16.8
174 -72.262 -33.493 53.00 16.8
175 -72.244 -33.497 52.00 16.8
176 -72.225 -33.502 55.00 16.8
177 -72.206 -33.506 59.00 16.8
178 -72.187 -33.051 68.00 16.8
179 -72.416 -33.460 34.00 16.8
180 -72.395 -33.463 34.00 16.8
181 -72.376 -33.467 37.00 16.8
182 -72.264 -33.502 51.00 16.8
183 -72.265 -33.511 56.00 16.8
184 -72.268 -33.518 55.00 16.8
185 -72.271 -33.526 54.00 16.8
186 -72.273 -33.534 56.00 16.8
187 -72.276 -33.542 58.00 16.8
188 -72.278 -33.550 56.00 16.8
189 -72.280 -33.558 57.00 16.8
190 -73.285 -35.268 40.00 16.8
191 -73.268 -35.271 50.00 16.8
192 -73.249 -35.277 57.00 16.8
193 -73.229 -35.281 53.00 16.8
194 -73.210 -35.287 52.00 16.8
195 -73.191 -35.293 44.00 16.8
196 -73.172 -35.299 54.00 16.8
197 -73.153 -35.304 55.00 16.8
198 -73.132 -35.310 66.00 16.8
199 -73.115 -35.316 84.00 16.8
200 -73.095 -35.321 73.00 16.8
201 -73.076 -35.326 83.00 16.8
202 -73.673 -35.905 69.00 16.8
203 -73.397 -35.904 69.00 16.8
204 -66.923 -33.481 55.85 17.2
205 -61.957 -26.854 65.60 14.0
206 -66.775 -33.758 60.46 14.0
207 -66.795 -33.759 54.12 14.0
208 -68.194 -30.083 37.45 14.0
209 -62.105 -33.122 55.89 14.0
210 -62.772 -26.544 67.50 14.0
211 -61.775 -29.908 53.47 14.0
212 -61.832 -26.462 59.97 14.0
213 -66.615 -33.812 65.97 14.0
214 -62.395 -26.043 68.37 14.0
215 -64.783 -26.783 100.76 14.0
216 -66.680 -33.203 57.98 14.0
217 -61.549 -27.358 73.31 14.0
218 -63.970 -33.951 49.61 14.0
219 -68.596 -29.510 42.21 14.0
220 -67.585 -34.758 65.34 14.0
221 -61.996 -31.430 52.77 14.0
222 -61.128 -27.054 58.73 14.0
223 -61.260 -28.429 62.07 14.0
224 -68.460 -30.281 54.01 14.0
225 -67.150 -31.800 64.03 14.0
226 -64.024 -26.338 73.08 14.0
227 -64.136 -26.259 78.38 14.0
228 -62.652 -25.760 73.71 14.0
229 -67.116 -34.024 74.73 14.0
230 -67.160 -33.977 75.40 14.0
231 -63.149 -28.354 65.05 14.0
232 -68.593 -30.797 39.27 14.0
233 -68.584 -30.442 44.55 14.0
234 -63.752 -25.393 69.34 14.0
235 -62.827 -32.850 58.48 14.0
236 -60.072 -26.408 53.87 14.0
237 -68.367 -29.972 43.78 14.0
238 -69.347 -35.422 71.82 14.0
239 -66.960 -33.286 71.67 14.0
240 -62.863 -24.129 77.09 14.0
241 -62.069 -32.509 51.05 14.0
242 -66.978 -31.382 52.81 14.0
243 -68.856 -32.282 47.91 14.0
244 -62.956 -28.864 60.15 14.0
245 -66.680 -34.056 70.41 14.0
