Longitude	Latitude	Heat Flow [mW/m2]	Error [mW/m2]	Reference	Data Type
index lon lat shf error
-73.748	-36.21	41.9	nan	12	1
-73.76	-36.209	42.4	nan	12	1
-73.77	-36.208	41.8	nan	12	1
-73.781	-36.206	42.9	nan	12	1
-73.792	-36.204	42.7	nan	12	1
-73.804	-36.203	33.8	nan	12	1
-73.829	-36.199	37.1	nan	12	1
-73.836	-36.198	39.7	nan	12	1
-74.178	-36.151	19.3	nan	12	1
-74.154	-36.152	20.2	nan	12	1
-74.131	-36.156	21.8	nan	12	1
-74.111	-36.161	20.8	nan	12	1
-74.071	-36.165	33.2	nan	12	1
-74.057	-36.167	41.3	nan	12	1
-74.037	-36.169	59.4	nan	12	1
-74.017	-36.172	45.3	nan	12	1
-74.005	-36.175	55	nan	12	1
-73.994	-36.176	48.8	nan	12	1
-73.985	-36.178	58.3	nan	12	1
-73.972	-36.18	49.2	nan	12	1
-72.356	-33.472	34	nan	13	4
-72.337	-33.478	38	nan	13	4
-72.318	-33.481	46	nan	13	4
-72.301	-33.484	50	nan	13	4
-72.281	-33.489	57	nan	13	4
-72.262	-33.493	53	nan	13	4
-72.244	-33.497	52	nan	13	4
-72.225	-33.502	55	nan	13	4
-72.206	-33.506	59	nan	13	4
-72.187	-33.051	68	nan	13	4
-72.416	-33.46	34	nan	13	4
-72.395	-33.463	34	nan	13	4
-72.376	-33.467	37	nan	13	4
-72.264	-33.502	51	nan	13	4
-72.265	-33.511	56	nan	13	4
-72.268	-33.518	55	nan	13	4
-72.271	-33.526	54	nan	13	4
-72.273	-33.534	56	nan	13	4
-72.276	-33.542	58	nan	13	4
-72.278	-33.55	56	nan	13	4
-72.28	-33.558	57	nan	13	4
-73.285	-35.268	40	nan	13	4
-73.268	-35.271	50	nan	13	4
-73.249	-35.277	57	nan	13	4
-73.229	-35.281	53	nan	13	4
-73.21	-35.287	52	nan	13	4
-73.191	-35.293	44	nan	13	4
-73.172	-35.299	54	nan	13	4
-73.153	-35.304	55	nan	13	4
-73.132	-35.31	66	nan	13	4
-73.115	-35.316	84	nan	13	4
-73.095	-35.321	73	nan	13	4
-73.076	-35.326	83	nan	13	4
-73.673	-35.905	69	nan	13	4
-73.397	-35.904	69	nan	13	4
-71.35	-23.367	9.63	nan	14	1
-72.617	-31.417	31.4	nan	14	1
-66.923	-33.481	55.85	5.58	15	2
-61.957	-26.854	65.6	6.56	15	2
-66.775	-33.758	60.46	6.05	15	2
-66.795	-33.759	54.12	5.41	15	2
-68.194	-30.083	37.45	3.75	15	2
-62.105	-33.122	55.89	5.59	15	2
-62.772	-26.544	67.5	6.75	15	2
-61.775	-29.908	53.47	5.35	15	2
-61.832	-26.462	59.97	6	15	2
-66.615	-33.812	65.97	6.6	15	2
-62.395	-26.043	68.37	6.84	15	2
-64.783	-26.783	100.76	10.08	15	2
-66.68	-33.203	57.98	5.8	15	2
-61.549	-27.358	73.31	7.33	15	2
-63.97	-33.951	49.61	4.96	15	2
-68.596	-29.51	42.21	4.22	15	2
-67.585	-34.758	65.34	6.53	15	2
-61.996	-31.43	52.77	5.28	15	2
-61.128	-27.054	58.73	5.87	15	2
-61.26	-28.429	62.07	6.21	15	2
-68.46	-30.281	54.01	5.4	15	2
-67.15	-31.8	64.03	6.4	15	2
-64.024	-26.338	73.08	7.31	15	2
-64.136	-26.259	78.38	7.84	15	2
-62.652	-25.76	73.71	7.37	15	2
-67.116	-34.024	74.73	7.47	15	2
-67.16	-33.977	75.4	7.54	15	2
-63.149	-28.354	65.05	6.5	15	2
-68.593	-30.797	39.27	3.93	15	2
-68.584	-30.442	44.55	4.45	15	2
-63.752	-25.393	69.34	6.93	15	2
-62.827	-32.85	58.48	5.85	15	2
-60.072	-26.408	53.87	5.39	15	2
-68.367	-29.972	43.78	4.38	15	2
-69.347	-35.422	71.82	7.18	15	2
-66.96	-33.286	71.67	7.17	15	2
-62.863	-24.129	77.09	7.71	15	2
-62.069	-32.509	51.05	5.11	15	2
-66.978	-31.382	52.81	5.28	15	2
-68.856	-32.282	47.91	4.79	15	2
-62.956	-28.864	60.15	6.01	15	2
-66.68	-34.056	70.41	7.04	15	2
-69.894	-26.753	26.32	nan	16	2
-69.895	-26.754	28.56	nan	16	2
-69.895	-26.756	25.09	nan	16	2
-69.894	-26.756	29.78	nan	16	2
-70.617	-27.98	23.05	nan	16	2
-70.91	-28.666	13.46	nan	16	2
